Index Game, Round, Player, Move
2,1,1,"[[-1, -1], [4, 1]]"
2,1,2,"[[-1, -1], [3, 0]]"
2,2,1,"[[-1, -1], [3, 1]]"
2,2,2,"[[-1, -1], [2, 0]]"
2,3,1,"[[-1, -1], [3, 2]]"
2,3,2,"[[-1, -1], [4, 2]]"
2,4,1,"[[-1, -1], [1, 1]]"
2,4,2,"[[-1, -1], [2, 1]]"
2,5,1,"[[1, 1], [1, 2]]"
2,6,2,"[[3, 0], [4, 0]]"
2,7,1,"[[1, 2], [2, 2]]"
2,8,2,"[[4, 2], [3, 3]]"
2,9,1,"[[4, 1], [3, 0]]"
2,10,2,"[[2, 0], [1, 1]]"
2,11,1,"[[2, 2], [2, 3]]"
2,12,2,"[[1, 1], [2, 2]]"
2,13,1,"[[2, 3], [2, 4]]"
2,14,2,"[[2, 2], [2, 3]]"
2,15,1,"[[2, 4], [1, 3]]"
2,16,2,"[[2, 1], [2, 2]]"
2,17,1,"[[1, 3], [1, 2]]"
2,18,2,"[[4, 0], [4, 1]]"
2,19,1,"[[1, 2], [1, 1]]"
2,20,2,"[[2, 2], [2, 1]]"
2,21,1,"[[1, 1], [1, 0]]"
2,22,2,"[[2, 3], [2, 2]]"
2,23,1,"[[1, 0], [2, 0]]"
2,24,2,"[[3, 3], [4, 3]]"
2,25,1,"[[3, 1], [4, 2]]"
2,26,2,"[[2, 1], [3, 1]]"
2,27,1,"[[3, 0], [4, 0]]"
2,28,2,"[[2, 2], [2, 3]]"
2,29,1,"[[2, 0], [2, 1]]"
2,30,2,"[[2, 3], [2, 4]]"
2,31,1,"[[3, 2], [3, 3]]"
2,32,2,"[[2, 4], [3, 4]]"
2,33,1,"[[2, 1], [2, 0]]"
2,34,2,"[[4, 3], [3, 2]]"
2,35,1,"[[2, 0], [3, 0]]"
2,36,2,"[[3, 4], [2, 3]]"
2,37,1,"[[3, 0], [2, 1]]"
2,38,2,"[[4, 1], [3, 0]]"
2,39,1,"[[4, 0], [4, 1]]"
2,40,2,"[[2, 3], [2, 4]]"
2,41,1,"[[2, 1], [1, 1]]"
2,42,2,"[[3, 0], [2, 1]]"
2,43,1,"[[1, 1], [1, 2]]"
2,44,2,"[[2, 4], [1, 3]]"
2,45,1,"[[3, 3], [2, 2]]"
2,46,2,"[[1, 3], [0, 2]]"
2,47,1,"[[2, 2], [1, 1]]"
2,48,2,"[[0, 2], [0, 1]]"
2,49,1,"[[4, 2], [3, 3]]"
2,50,2,"[[0, 1], [1, 0]]"
2,51,1,"[[1, 1], [2, 2]]"
2,52,2,"[[3, 1], [4, 2]]"
2,53,1,"[[3, 3], [4, 3]]"
2,54,2,"[[1, 0], [0, 0]]"
2,55,1,"[[1, 2], [1, 3]]"
2,56,2,"[[0, 0], [0, 1]]"
2,57,1,"[[1, 3], [1, 4]]"
2,58,2,"[[0, 1], [0, 2]]"
2,59,1,"[[1, 4], [2, 3]]"
2,60,2,"[[2, 1], [1, 1]]"
2,61,1,"[[2, 2], [3, 1]]"
2,62,2,"[[0, 2], [1, 2]]"
2,63,1,"[[2, 3], [2, 2]]"
2,64,2,"[[1, 1], [0, 1]]"
2,65,1,"[[2, 2], [2, 1]]"
2,66,2,"[[1, 2], [2, 2]]"
2,67,1,"[[2, 1], [1, 2]]"
2,68,2,"[[0, 1], [1, 1]]"
2,69,1,"[[3, 1], [2, 1]]"
2,70,2,"[[4, 2], [3, 1]]"
2,71,1,"[[4, 3], [3, 3]]"
2,72,2,"[[1, 1], [1, 0]]"
2,73,1,"[[1, 2], [1, 1]]"
2,74,2,"[[1, 0], [2, 0]]"
2,75,1,"[[4, 1], [3, 0]]"
2,76,2,"[[3, 1], [4, 1]]"
2,77,1,"[[1, 1], [1, 2]]"
