Date,round,winnerP1,HP1,HP2,Depth P1,DepthP2,AvgTimeBEGP1,AvgIterBEGP1,AvgTimeBEGP2,AvgIterBEGP2,AvgTimeMBMGP1,AvgIterMBMGP1,AvgTimeMBMGP2,AvgIterMBMGP2
22/11/2022,97,False,False,False,2,3,,,,,0.09129095714279731,1545.1020408163265,0.8221562204083113,13621.387755102041
22/11/2022,35,False,False,False,2,3,,,,,0.037427966666655266,729.6666666666666,0.2525412055554423,4848.722222222223
22/11/2022,9,False,False,False,2,3,,,,,0.1111280799999804,2287.8,0.8716910799998004,17858.6
22/11/2022,11,False,False,False,2,3,,,,,0.10336248333381566,2106.0,0.876930566667094,17789.666666666668
22/11/2022,15,False,False,False,2,3,,,,,0.07485391249974782,1544.625,0.5117149000002428,10536.625
22/11/2022,31,False,False,False,2,3,,,,,0.04284834999987197,875.8125,0.31269621250010005,6325.4375
22/11/2022,7,False,False,False,2,3,,,,,0.3127654749996509,3847.25,1.8656976749998648,22706.75
22/11/2022,9,False,False,False,2,3,,,,,0.13055574000100023,2057.6,0.8512728400004562,13220.2
22/11/2022,10,True,False,False,2,3,,,,,0.0864014166669828,1332.1666666666667,0.6405829599996651,9848.2
22/11/2022,9,False,False,False,2,3,,,,,0.16001489999944168,2826.4,1.361700579999524,21614.6
22/11/2022,13,False,False,False,2,3,,,,,0.14418618571445613,2124.714285714286,1.065021028571729,15841.142857142857
22/11/2022,13,False,False,False,2,3,,,,,0.08922085714272855,1208.0,0.6172268571429284,8717.0
22/11/2022,7,False,False,False,2,3,,,,,0.1331228750000264,2024.75,1.2570973749993755,18884.75
22/11/2022,35,False,False,False,2,3,,,,,0.10969548333347727,1886.388888888889,0.9448197666667207,16593.277777777777
22/11/2022,9,False,False,False,2,3,,,,,0.08017671999987215,1427.6,0.466701479999756,8313.8
23/11/2022,26,True,False,False,3,3,,,,,1.0485843428571422,16112.142857142857,1.004216423076924,16238.076923076924
23/11/2022,149,False,False,False,3,3,,,,,0.8789009466666649,14934.173333333334,0.8666051586666682,14742.386666666667
23/11/2022,23,False,False,False,2,2,,,,,0.09071581666666655,1649.5,0.09321487499999977,1695.3333333333333
